date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:49:42	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:41%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/prospek-karir-ilmu-komunikasi)
07:49:42	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:42%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-kerja-teknik-arsitektur)
07:49:43	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:42%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-kerja-teknik-arsitektur)
07:49:43	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:42%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-biologi)
07:49:43	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:43%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-biologi)
07:49:44	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:43%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-karir-ilmu-ekonomi)
07:49:44	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:43%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-karir-ilmu-ekonomi)
07:49:44	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:44%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-teknik-sipil)
07:49:45	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:44%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-teknik-sipil)
07:49:45	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:45%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/prospek-karir-ilmu-administrasi-publik)
07:49:46	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:45%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/prospek-karir-ilmu-administrasi-publik)
07:49:46	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:45%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-kerja-teknik-informatika)
07:49:46	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:46%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-kerja-teknik-informatika)
07:49:47	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:46%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-karir-ilmu-kesehatan-masyarakat)
07:49:47	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:46%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/peluang-karir-ilmu-kesehatan-masyarakat)
07:49:47	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:46%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-ilmu-komputer)
07:49:47	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:47%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-ilmu-komputer)
07:49:48	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:47%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-teknik-biomedis)
07:49:48	683/683	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Jan%202024%2000:49:47%20GMT	https://studyinjogja.com/studi/TAUTAN	C:/My%20Web%20Sites/Projek%20magang/studyinjogja.com/studi/TAUTAN	(from https://studyinjogja.com/studi/karir-teknik-biomedis)
